H1	H2	H3	nABBA	nBABA	Dstat	jackEst	SE	Z
small.NA19102.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam	small.NA19213.mapped.ILLUMINA.bwa.YRI.low_coverage.20120522.bam	small.NA12275.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	76	69	0.04827586	0.04827586	0.0946311	0.5101479
Neandertal.bam	small.NA18504.mapped.ILLUMINA.bwa.YRI.low_coverage.20120522.bam	small.NA12275.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	139	51	0.4631579	0.4631579	0.07326069	6.322052
small.NA19102.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam	small.NA18504.mapped.ILLUMINA.bwa.YRI.low_coverage.20120522.bam	small.NA12275.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	85	78	0.04294479	0.04294479	0.06014351	0.7140385
small.NA19213.mapped.ILLUMINA.bwa.YRI.low_coverage.20120522.bam	small.NA18504.mapped.ILLUMINA.bwa.YRI.low_coverage.20120522.bam	small.NA12275.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	69	70	-0.007194245	-0.007194245	0.08513305	-0.0845059
Neandertal.bam	small.NA19108.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam	small.NA12275.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	135	48	0.4754098	0.4754098	0.07979768	5.95769
small.NA19102.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam	small.NA19108.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam	small.NA12275.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	93	87	0.03333333	0.03333333	0.09302099	0.3583421
small.NA19213.mapped.ILLUMINA.bwa.YRI.low_coverage.20120522.bam	small.NA19108.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam	small.NA12275.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	77	76	0.006535948	0.006535948	0.09755832	0.06699529
small.NA18504.mapped.ILLUMINA.bwa.YRI.low_coverage.20120522.bam	small.NA19108.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam	small.NA12275.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	76	76	0	-4.336809e-18	0.09620666	0
Neandertal.bam	small.NA19238.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam	small.NA12275.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	130	50	0.4444444	0.4444444	0.07601652	5.846682
small.NA19102.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam	small.NA19238.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam	small.NA12275.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	65	63	0.015625	0.015625	0.09474308	0.1649197
small.NA19213.mapped.ILLUMINA.bwa.YRI.low_coverage.20120522.bam	small.NA19238.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam	small.NA12275.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	69	76	-0.04827586	-0.04827586	0.09715034	-0.4969191
small.NA18504.mapped.ILLUMINA.bwa.YRI.low_coverage.20120522.bam	small.NA19238.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam	small.NA12275.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	67	69	-0.01470588	-0.01470588	0.0825734	-0.1780947
small.NA19108.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam	small.NA19238.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam	small.NA12275.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	72	72	0	7.806256e-18	0.09163947	0
Neandertal.bam	small.NA12342.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	small.NA12275.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	169	49	0.5504587	0.5504587	0.06140523	8.964362
small.NA19102.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam	small.NA12342.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	small.NA12275.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	111	69	0.2333333	0.2333333	0.0836264	2.790188
small.NA19213.mapped.ILLUMINA.bwa.YRI.low_coverage.20120522.bam	small.NA12342.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	small.NA12275.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	87	56	0.2167832	0.2167832	0.1087829	1.992806
small.NA18504.mapped.ILLUMINA.bwa.YRI.low_coverage.20120522.bam	small.NA12342.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	small.NA12275.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	110	73	0.2021858	0.2021858	0.08493253	2.380546
small.NA19108.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam	small.NA12342.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	small.NA12275.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	106	72	0.1910112	0.1910112	0.0967923	1.973414
small.NA19238.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam	small.NA12342.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	small.NA12275.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	102	65	0.2215569	0.2215569	0.07816145	2.834606
Neandertal.bam	small.NA12348.mapped.ILLUMINA.bwa.CEU.low_coverage.20130415.bam	small.NA12275.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	174	44	0.5963303	0.5963303	0.08005837	7.448694
small.NA19102.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam	small.NA12348.mapped.ILLUMINA.bwa.CEU.low_coverage.20130415.bam	small.NA12275.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	123	69	0.28125	0.28125	0.08317335	3.381492
small.NA19213.mapped.ILLUMINA.bwa.YRI.low_coverage.20120522.bam	small.NA12348.mapped.ILLUMINA.bwa.CEU.low_coverage.20130415.bam	small.NA12275.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	108	63	0.2631579	0.2631579	0.07111001	3.700715
small.NA18504.mapped.ILLUMINA.bwa.YRI.low_coverage.20120522.bam	small.NA12348.mapped.ILLUMINA.bwa.CEU.low_coverage.20130415.bam	small.NA12275.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	114	66	0.2666667	0.2666667	0.06920571	3.853247
small.NA19108.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam	small.NA12348.mapped.ILLUMINA.bwa.CEU.low_coverage.20130415.bam	small.NA12275.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	108	59	0.2934132	0.2934132	0.07599581	3.860912
small.NA19238.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam	small.NA12348.mapped.ILLUMINA.bwa.CEU.low_coverage.20130415.bam	small.NA12275.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	103	50	0.3464052	0.3464052	0.0929796	3.725605
small.NA12342.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	small.NA12348.mapped.ILLUMINA.bwa.CEU.low_coverage.20130415.bam	small.NA12275.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	85	69	0.1038961	0.1038961	0.1014535	1.024076
Neandertal.bam	small.NA12842.mapped.ILLUMINA.bwa.CEU.low_coverage.20130415.bam	small.NA12275.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	157	41	0.5858586	0.5858586	0.06637182	8.826918
small.NA19102.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam	small.NA12842.mapped.ILLUMINA.bwa.CEU.low_coverage.20130415.bam	small.NA12275.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	106	65	0.2397661	0.2397661	0.08920536	2.687799
small.NA19213.mapped.ILLUMINA.bwa.YRI.low_coverage.20120522.bam	small.NA12842.mapped.ILLUMINA.bwa.CEU.low_coverage.20130415.bam	small.NA12275.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	97	64	0.2049689	0.2049689	0.08803805	2.328186
small.NA18504.mapped.ILLUMINA.bwa.YRI.low_coverage.20120522.bam	small.NA12842.mapped.ILLUMINA.bwa.CEU.low_coverage.20130415.bam	small.NA12275.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	102	69	0.1929825	0.1929825	0.06923845	2.787215
small.NA19108.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam	small.NA12842.mapped.ILLUMINA.bwa.CEU.low_coverage.20130415.bam	small.NA12275.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	100	66	0.2048193	0.2048193	0.08101685	2.528107
small.NA19238.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam	small.NA12842.mapped.ILLUMINA.bwa.CEU.low_coverage.20130415.bam	small.NA12275.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	95	57	0.25	0.25	0.08042644	3.108431
small.NA12342.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	small.NA12842.mapped.ILLUMINA.bwa.CEU.low_coverage.20130415.bam	small.NA12275.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	68	66	0.01492537	0.01492537	0.0975782	0.1529581
small.NA12348.mapped.ILLUMINA.bwa.CEU.low_coverage.20130415.bam	small.NA12842.mapped.ILLUMINA.bwa.CEU.low_coverage.20130415.bam	small.NA12275.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	68	85	-0.1111111	-0.1111111	0.09582515	-1.159519
Neandertal.bam	small.NA11832.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	small.NA12275.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	176	52	0.5438596	0.5438596	0.07279537	7.471075
small.NA19102.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam	small.NA11832.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	small.NA12275.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	119	67	0.2795699	0.2795699	0.09981813	2.800793
small.NA19213.mapped.ILLUMINA.bwa.YRI.low_coverage.20120522.bam	small.NA11832.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	small.NA12275.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	99	58	0.2611465	0.2611465	0.1036886	2.518565
small.NA18504.mapped.ILLUMINA.bwa.YRI.low_coverage.20120522.bam	small.NA11832.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	small.NA12275.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	124	78	0.2277228	0.2277228	0.09050161	2.516229
small.NA19108.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam	small.NA11832.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	small.NA12275.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	110	65	0.2571429	0.2571429	0.09004987	2.855561
small.NA19238.mapped.ILLUMINA.bwa.YRI.low_coverage.20130415.bam	small.NA11832.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	small.NA12275.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	110	62	0.2790698	0.2790698	0.09805554	2.846038
small.NA12342.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	small.NA11832.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	small.NA12275.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	84	75	0.05660377	0.05660377	0.09626753	0.587984
small.NA12348.mapped.ILLUMINA.bwa.CEU.low_coverage.20130415.bam	small.NA11832.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	small.NA12275.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	70	77	-0.04761905	-0.04761905	0.1018591	-0.4674993
small.NA12842.mapped.ILLUMINA.bwa.CEU.low_coverage.20130415.bam	small.NA11832.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	small.NA12275.mapped.ILLUMINA.bwa.CEU.low_coverage.20120522.bam	90	81	0.05263158	0.05263158	0.09905989	0.5313107
